"","Estimated.Position","Estimated.Velocity.","Measured.Position","Reference","Measured.Velocity","Output.Voltage","DS.Voltage","Time"
"70",1.339506337,-3.675746326,1.365212222,1.1,-0.167510702,-1.074437928,12.27207764,47.491492
"71",1.331332776,-3.474426544,1.355440764,1.1,-0.09771457619,-1.050293255,12.27836011,47.579316
"72",1.330337042,-3.454518434,1.352648919,1.1,-0.02791845034,-1.038220919,12.26579517,47.670306
"73",1.318467991,-3.308300196,1.340085616,1.1,-0.1116738014,-0.9899315738,12.27207764,47.789268
"74",1.317730866,-3.263408608,1.340085616,1.1,0,-0.9778592375,12.29720752,47.899945
"75",1.315132923,-3.222154827,1.334501926,1.1,-0.05583690068,-0.9778592375,12.29092505,47.992271
"76",1.304729104,-3.072155092,1.326126391,1.1,-0.08375535102,-0.9295698925,12.28464258,48.103218
"77",1.303744699,-3.057176399,1.324730469,1.1,-0.01395922517,0,12.3223374,48.200724
"78",1.297203667,-2.967556564,1.317750856,1.1,-0.06979612585,0,12.33490234,48.305029
"79",1.29728861,-2.961458034,1.317750856,1.1,-0.05583690068,0,12.33490234,48.373022
"80",1.297470287,-2.960619839,1.317750856,1.1,0,0,12.3223374,48.480263
"81",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.34746729,48.590286
"82",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.34118481,48.698285
"83",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.34118481,48.802304
"84",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.33490234,48.892387
"85",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.33490234,48.976502
"86",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.33490234,49.081356
"87",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.35374976,49.18244
"88",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.34746729,49.279232
"89",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.35374976,49.411303
"90",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.35374976,49.487712
"91",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.36003223,49.581177
"92",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.3663147,49.688382
"93",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.34746729,49.779315
"94",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.36003223,49.885994
"95",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.37259717,49.998513
"96",1.297470287,-2.960619842,1.317750856,1.1,0,0,12.3663147,50.112241
