Time,Output Voltage,DS Voltage
9.873883,3.913402189695915E-229,12.5108115234375
9.888239,-9.77060157699698E-230,12.485681640625
9.892199,2.439428674818465E-230,12.479399169921875
9.892789,-6.090528011639149E-231,12.491964111328125
9.90773,1.5206237363476745E-231,12.491964111328125
9.913482,-3.7965452964424545E-232,12.47311669921875
9.927173,9.478844663150631E-233,12.485681640625
9.934951,-2.3665856491250495E-233,12.491964111328125
9.948441,5.908660637110841E-234,12.47311669921875
9.954509,-1.475216860942705E-234,12.485681640625
9.967141,3.683177830760944E-235,12.491964111328125
9.973804,-9.195799812334007E-236,12.479399169921875
9.985299,2.2959177665079383E-236,12.491964111328125
9.99565,-5.732223948042745E-237,12.479399169921875
10.004669,1.431165866210093E-237,12.485681640625
10.015802,-3.573195595933148E-238,12.485681640625
10.023103,8.921206876325653E-239,12.491964111328125
10.041396,-2.2273600756920103E-239,12.47311669921875
10.052306,5.561055780414816E-240,12.485681640625
10.07015,-1.3884302646161493E-240,12.491964111328125
10.079161,3.466497506626834E-241,12.49824658203125
10.084262,-8.654813475109758E-242,12.485681640625
10.085499,2.160849564892101E-242,12.504529052734375
10.094379,-5.394998812536704E-243,12.504529052734375
10.108019,1.346970777612916E-243,12.491964111328125
10.115412,-3.362985495987633E-244,12.49824658203125
10.123856,8.396374764912154E-245,12.49824658203125
10.134773,-2.0963251038984806E-245,12.485681640625
10.144348,5.233900420452416E-246,12.479399169921875
10.155317,-1.3067492995370138E-246,12.491964111328125
10.166354,3.2625644255052E-247,12.491964111328125
10.175924,-8.145653213162925E-248,12.49824658203125
10.18528,2.0337273878917226E-248,12.491964111328125
10.193057,-5.077612537662744E-249,12.491964111328125
10.205224,1.267728862586501E-249,12.479399169921875
10.212995,-3.1651419975708474E-250,12.491964111328125
10.223844,7.902418380178831E-251,12.485681640625
10.234392,-1.9729988829352806E-251,12.491964111328125
10.243341,4.925991519036446E-252,12.49824658203125
10.255826,-1.2298736028435428E-252,12.485681640625
10.263875,3.0706286706462463E-253,12.47311669921875
10.274919,-7.666446707364778E-254,12.485681640625
10.283307,1.914083773095707E-254,12.479399169921875
10.296501,-4.778898008785147E-255,12.485681640625
10.304395,1.1931487273116716E-255,12.485681640625
10.316166,-2.978937576965277E-256,12.485681640625
10.324334,7.437521311739782E-257,12.479399169921875
10.335401,-1.8569279091418917E-257,12.485681640625
10.343703,4.636196812380601E-258,12.479399169921875
10.355666,-1.157520481937332E-258,12.479399169921875
10.365278,2.889984442693328E-259,12.485681640625
10.37668,-7.215431786598523E-260,12.479399169921875
10.384377,1.8014787587761758E-260,12.491964111328125
10.39555,-4.497756772296578E-261,12.47311669921875
10.406707,1.1229561205863314E-261,12.485681640625
10.416253,-2.8036875104707227E-262,12.479399169921875
10.425017,6.999974008125282E-263,12.485681640625
10.435959,-1.7476853583516083E-263,12.49824658203125
10.446859,4.3634506474612095E-264,12.485681640625
10.458257,-1.0894238749466676E-264,12.466834228515625
10.473289,2.719967464269031E-265,12.479399169921875
10.483451,-6.790949947782519E-266,12.485681640625
10.484359,1.695498266030949E-266,12.485681640625
10.494497,-4.233154996308946E-267,12.491964111328125
10.50685,1.0568929253300871E-267,12.491964111328125
10.518634,-2.6387473564912337E-268,12.491964111328125
10.524125,6.588167490301635E-269,12.479399169921875
10.533289,-1.644869516344375E-269,12.485681640625
10.544456,4.106750063324673E-270,12.491964111328125
10.552919,-1.0253333723455187E-270,12.485681640625
10.566358,2.5599525372487205E-271,12.485681640625
10.57273,-6.391440257108687E-272,12.485681640625
10.585664,1.595752576104133E-272,12.49824658203125
10.592728,-3.98411966897569E-273,12.485681640625
10.6048,9.947162094183664E-274,12.485681640625
10.61506,-2.483510585750131E-274,12.485681640625
10.62455,6.20058743502273E-275,12.491964111328125
10.63328,-1.548102301635608E-275,12.485681640625
10.644646,12.0,11.574723388671874
10.655352,12.0,9.3947060546875
10.664173,12.0,9.715112060546875
10.673965,12.0,10.004105712890624
10.684516,12.0,10.129755126953125
10.693001,12.0,10.443878662109375
10.705853,12.0,11.687807861328125
10.712691,12.0,12.0082138671875
10.724658,12.0,11.74435009765625
10.7346,12.0,11.568440917968749
10.745699,12.0,11.361119384765624
10.753906,12.0,11.26688232421875
10.764375,12.0,11.109820556640624
10.772902,12.0,11.0281484375
10.785122,12.0,10.732872314453125
10.795601,12.0,10.56324560546875
10.805359,12.0,10.418748779296875
10.813919,12.0,10.43759619140625
10.823627,12.0,10.506703369140626
10.834526,12.0,10.494138427734375
10.844834,12.0,10.512985839843749
10.855229,12.0,10.431313720703125
10.864917,12.0,10.374771484375
10.876554,12.0,10.368489013671875
10.883786,12.0,10.267969482421874
10.894052,12.0,10.205144775390625
10.904548,12.0,10.242839599609376
10.915878,12.0,10.242839599609376
10.924349,12.0,10.23655712890625
10.935143,12.0,10.205144775390625
10.944454,12.0,10.274251953124999
10.961413,12.0,10.318229248046874
10.964786,12.0,10.318229248046874
10.975749,12.0,10.41246630859375
10.985466,12.0,10.418748779296875
10.996048,12.0,10.374771484375
11.003328,12.0,10.36220654296875
11.014838,12.0,10.343359130859374
11.024518,12.0,10.368489013671875
11.034538,12.0,10.3999013671875
11.045119,12.0,10.374771484375
11.062504,12.0,10.406183837890625
11.067529,12.0,10.374771484375
11.077023,12.0,10.406183837890625
11.086811,12.0,10.42503125
11.095913,12.0,10.481573486328125
11.10426,12.0,10.431313720703125
11.117062,12.0,10.431313720703125
11.124212,12.0,10.393618896484375
11.13405,12.0,10.43759619140625
11.145054,12.0,10.368489013671875
